Time,VCC1_VOLTAGE,CONTROLLER_TEMPERATURE,VCC2_CURRENT,VCC1_CURRENT,VCC2_VOLTAGE,VCC3_CURRENT,VCC3_VOLTAGE,BATTERY2_VOLTAGE,SUN_X,SUN_Z,BATTERY2_CURRENT,BATTERY1_CURRENT,BATTERY_TEMPERATURE,BATTERY1_VOLTAGE
01/16/22 06:28:00AM,0.012,5.68,0,0,0,1,0,4.356,0,0,0,-220,-3.87,4.014
01/16/22 08:27:00AM,2.124,-5.81,176,156,2.292,1,1.98,4.41,0,0,0,75,-8.31,4.554
01/16/22 08:30:00AM,2.124,-4.12,228,375,2.16,1,2.124,4.446,0,0,0,260,-6.31,0.234
01/16/22 08:31:00AM,1.92,-3.68,91,222,2.136,1,1.956,4.446,0,0,0,141,-5.75,0.108
01/16/22 10:01:00AM,2.052,-6,126,65,2.184,1,1.92,4.41,0,0,0,-12,-9.31,4.554
01/16/22 10:04:00AM,2.46,-4.37,182,300,2.4,1,2.112,4.428,0,0,0,230,-7.43,0.162
01/16/22 10:05:00AM,2.112,-3.93,288,312,2.268,1,2.052,4.5,0,0,0,361,-6.81,0.396
01/16/22 10:08:00AM,2.088,-2,243,372,2.196,1,2.016,4.41,0,0,0,-122,-4.43,0
01/16/22 11:36:00AM,2.268,-5.37,113,426,2.136,1,2.04,4.41,0,0,0,323,-9.12,0.324
01/16/22 11:39:00AM,2.136,-3.87,213,53,1.968,1,1.92,4.41,0,0,0,5,-7.18,0.036
01/16/22 02:12:00PM,0.012,9.75,0,0,0.012,1,0.012,4.356,0,0,0,-225,3.93,4.086
01/16/22 02:59:00PM,1.8,-1.56,78,3,1.992,1,1.86,4.428,0,0,0,-51,-2.06,0.018
01/16/22 03:50:00PM,0,9.06,0,0,0,1,0,4.356,0,0,0,-223,2.06,4.05
01/16/22 04:25:00PM,2.064,-5.93,142,98,2.076,1,1.836,4.392,0,0,0,-68,-7.18,4.536
01/16/22 06:03:00PM,2.196,-4.81,23,630,2.532,1,2.064,4.464,0,0,0,446,-5.68,0.414
01/16/22 11:07:00PM,1.8,5.43,67,86,1.8,1,1.608,4.41,0,0,0,-93,5.12,4.302
01/17/22 01:30:00AM,0.024,4.75,0,0,0.024,1,0,4.356,0,0,0,-213,-4.93,3.87
01/17/22 04:43:00AM,0.012,4.43,0,0,0.036,1,0.048,4.176,0,0,-130,0,-5,3.996
01/17/22 08:12:00AM,1.98,-5.43,148,133,2.148,1,2.196,4.374,0,0,0,193,-9.93,0.198
01/17/22 08:16:00AM,2.16,-3.06,116,142,2.16,1,1.968,4.392,0,0,0,-15,-7,4.59
01/17/22 09:47:00AM,2.328,-5.25,120,496,2.124,1,2.076,4.41,0,0,0,422,-10.06,0.342
01/17/22 09:50:00AM,2.052,-3.93,102,156,2.124,1,1.992,4.392,0,0,0,-36,-8.12,0.054
01/17/22 09:51:00AM,2.04,-3.56,142,57,2.136,1,1.944,4.41,0,0,0,-25,-7.5,0.054
01/17/22 09:54:00AM,2.016,-1.87,155,143,2.124,1,1.884,4.446,0,0,0,250,-5.06,0.234
01/17/22 09:55:00AM,2.052,-1.25,108,73,2.112,1,1.92,4.374,0,0,0,198,-4.12,0.108
01/17/22 10:43:00AM,0.048,12.12,0,0,0.06,1,0.048,4.374,0,0,0,-53,11.5,4.338
01/17/22 10:45:00AM,0.024,11.12,0,0,0.036,1,0.024,4.374,0,0,0,-53,9.37,4.302
01/17/22 11:21:00AM,1.92,-5.62,307,3,2.256,1,1.884,4.302,0,0,0,-77,-9.75,4.554
01/17/22 11:26:00AM,2.064,-3.25,432,1,1.824,1,1.908,4.41,0,0,0,141,-6.56,0.054
01/17/22 11:30:00AM,1.956,-1.18,158,66,1.896,1,1.74,4.392,0,0,0,-47,-3.56,4.572
01/17/22 12:19:00PM,0.012,12,0,0,0.012,1,0.012,4.374,0,0,0,-53,11.25,4.338
01/17/22 12:35:00PM,0.048,5.87,0,0,0.048,1,0.036,4.338,0,0,0,-216,-3.43,3.906
01/17/22 12:58:00PM,2.304,-6,128,435,2.28,1,2.388,4.446,0,0,0,612,-9,0.594
01/17/22 01:59:00PM,0.012,9.81,0,0,0.012,1,0.012,4.356,0,0,0,-220,4.62,3.996
01/17/22 02:02:00PM,0.036,9.12,0,0,0.024,1,0.036,4.356,0,0,0,-218,2.43,3.96
01/17/22 02:09:00PM,0.036,6.31,0,0,0.06,1,0.06,4.356,0,0,0,-216,-2.93,3.906
01/17/22 02:40:00PM,2.136,-4.62,232,21,2.292,1,2.004,4.392,0,0,0,-11,-6.62,0.054
01/17/22 04:12:00PM,1.956,-7.18,240,60,2.172,1,1.848,4.374,0,0,0,-13,-8.5,4.482
01/17/22 04:15:00PM,1.836,-5.5,102,6,1.884,1,1.752,4.356,0,0,0,-146,-6.37,4.428
01/17/22 04:16:00PM,1.812,-5,162,23,1.944,1,1.548,4.338,0,0,0,-121,-5.68,4.356
01/17/22 05:51:00PM,2.028,-4.68,357,77,1.764,1,1.668,4.392,0,0,0,90,-5.12,4.518,2.052,-5.06,312,71,2.172,1,1.836,4.374,0,0,0,138,-5.62,4.5
01/17/22 07:00:00PM,0.012,3.62,0,0,0.012,1,0.024,4.338,0,0,0,-215,-6.5,3.906
01/17/22 07:24:00PM,1.728,-3.87,98,92,1.524,8,1.44,4.32,0,0,0,-171,-6.31,4.176
01/17/22 08:32:00PM,0.024,5.37,0,0,0.024,1,0.012,4.338,0,0,0,-217,-4.31,3.96
01/17/22 08:35:00PM,0.012,3.68,0,0,0.012,1,0.012,4.338,0,0,0,-216,-6.37,3.924
01/17/22 08:37:00PM,0.036,2.87,0,0,0.048,1,0.048,4.338,0,0,0,-215,-7.37,3.906
01/17/22 10:55:00PM,1.848,6.12,211,55,2.088,1,1.74,4.374,0,0,0,-48,4.75,4.464
01/18/22 12:31:00AM,1.848,6.81,106,15,1.92,1,1.656,4.374,0,0,0,-90,6,4.392
01/18/22 01:57:00AM,2.112,1.18,113,42,2.076,1,1.896,4.392,0,0,0,-33,0.43,4.59
01/18/22 01:58:00AM,2.04,1.93,95,98,2.04,1,1.68,4.392,0,0,0,-41,1.25,4.518
01/18/22 03:18:00AM,2.16,-7.81,81,76,2.172,1,2.004,4.32,0,0,0,-25,-9.62,0.144
01/18/22 03:23:00AM,2.292,-4.43,175,210,2.304,1,1.716,4.392,0,0,0,68,-6,0
01/18/22 05:01:00AM,1.944,-1.56,220,50,2.076,1,1.584,4.392,0,0,0,35,-2.68,4.464
01/18/22 06:02:00AM,0,6.25,0,0,0.012,1,0,4.356,0,0,0,-216,-3.12,3.906
01/18/22 06:03:00AM,0.024,5.68,0,0,0.024,1,0.024,4.356,0,0,0,-215,-3.87,3.888
01/18/22 09:36:00AM,2.256,-7.81,28,418,2.4,1,2.484,4.392,0,0,0,427,-10.12,0.522
01/18/22 09:38:00AM,1.86,-6.75,62,8,1.908,1,1.704,4.374,0,0,0,-200,-9,4.482,1860,-6.75,62,8,1908,1,1704,4.374,0,0,0,-200,-9,4.482
01/18/22 09:41:00AM,2.016,-5.12,243,6,2.244,1,1.92,4.41,0,0,0,20,-7.12,0.018,2.448,-4.68,156,256,2.388,1,1.812,4.41,0,0,0,175,-6.56,0.162,2016,-5.12,243,6,2244,1,1920,4.41,0,0,0,20,-7.12,0.018,2448,-4.68,156,256,2388,1,1812,4.41,0,0,0,175,-6.56,0.162
01/18/22 11:12:00AM,2.16,-6.75,111,133,2.208,1,1.908,4.32,0,0,0,-70,-8.93,0,2160,-6.75,111,133,2208,1,1908,4.32,0,0,0,-70,-8.93,0
01/18/22 11:14:00AM,2.076,-5.62,152,61,2.172,1,1.908,4.428,0,0,0,47,-7.81,4.572,2076,-5.62,152,61,2172,1,1908,4.428,0,0,0,47,-7.81,4.572
01/18/22 11:17:00AM,1.872,-3.62,90,56,2.016,1,1.884,4.428,0,0,0,-57,-5.37,4.59,1.968,-4.06,77,67,1.968,1,1.764,4.392,0,0,0,-55,-5.93,4.5,1872,-3.62,90,56,2016,1,1884,4.428,0,0,0,-57,-5.37,4.59,1968,-4.06,77,67,1968,1,1764,4.392,0,0,0,-55,-5.93,4.5
01/18/22 12:05:00PM,0.348,12.43,0,0,0.54,1,0.684,4.392,0,0,0,-53,12.31,4.356,348,12.43,0,0,540,1,684,4.392,0,0,0,-53,12.31,4.356
01/18/22 01:11:00PM,1.932,6.75,153,108,2.112,1,1.824,4.392,0,0,0,-62,6.31,4.554,1932,6.75,153,108,2112,1,1824,4.392,0,0,0,-62,6.31,4.554
01/18/22 01:56:00PM,0.012,6.56,0,0,0.012,1,0.012,4.374,0,0,0,-215,-2.56,3.888,12,6.56,0,0,12,1,12,4.374,0,0,0,-215,-2.56,3.888
01/18/22 03:19:00PM,0.012,10.56,0,0,0.024,1,0.012,4.392,0,0,0,-53,8.37,4.266,12,10.56,0,0,24,1,12,4.392,0,0,0,-53,8.37,4.266
01/18/22 04:02:00PM,2.1,-4.37,66,90,2.088,1,1.896,4.392,0,0,0,-68,-6.37,4.59,2100,-4.37,66,90,2088,1,1896,4.392,0,0,0,-68,-6.37,4.59
01/18/22 04:03:00PM,2.124,-3.93,38,551,2.448,1,2.04,4.482,0,0,0,423,-5.75,0.36,2124,-3.93,38,551,2448,1,2040,4.482,0,0,0,423,-5.75,0.36
01/18/22 05:38:00PM,2.088,-3.5,46,405,2.34,1,2.088,4.464,0,0,0,303,-5.43,0.324,2088,-3.5,46,405,2340,1,2088,4.464,0,0,0,303,-5.43,0.324
01/18/22 07:13:00PM,2.232,-4.5,146,206,2.196,1,1.92,4.428,0,0,0,140,-6.31,0.018,2232,-4.5,146,206,2196,1,1920,4.428,0,0,0,140,-6.31,0.018
01/18/22 08:22:00PM,0.024,4,0,0,0.024,1,0.024,4.374,0,0,0,-213,-5.87,3.834,24,4,0,0,24,1,24,4.374,0,0,0,-213,-5.87,3.834
01/18/22 09:55:00PM,0.012,5.31,0,0,0.012,1,0.012,4.356,0,0,0,-215,-4.18,3.852,12,5.31,0,0,12,1,12,4.356,0,0,0,-215,-4.18,3.852
01/18/22 09:58:00PM,0.036,4.25,0,0,0.024,1,0.024,4.356,0,0,0,-215,-5.62,3.834,36,4.25,0,0,24,1,24,4.356,0,0,0,-215,-5.62,3.834
